player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
David Raya,ESP,GK,29,36.0,2,0,0,1,9,0,0,2,0,0,1,0,39,10,0,100.0
William Saliba,FRA,DF,24,33.3,2,1,0,28,17,1,3,21,37,0,1,0,150,60,35,63.2
Declan Rice,ENG,MF,26,29.4,7,1,1,20,16,2,157,25,24,0,0,0,143,31,24,56.4
Thomas Partey,GHA,"MF,DF",31,29.1,4,0,0,44,30,1,12,34,51,0,0,0,130,26,22,54.2
Gabriel Magalhães,BRA,DF,27,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9
Leandro Trossard,BEL,FW,30,27.0,4,1,1,25,45,6,82,9,19,0,0,0,98,6,22,21.4
Jurriën Timber,NED,DF,23,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4
Martin Ødegaard,NOR,MF,26,24.7,4,0,0,10,23,1,84,5,11,0,0,0,93,8,7,53.3
Gabriel Martinelli,BRA,"FW,MF",23,23.7,1,0,0,15,20,8,85,4,15,0,0,0,74,15,34,30.6
Kai Havertz,GER,"FW,MF",25,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9
Bukayo Saka,ENG,"FW,MF",23,18.1,3,0,0,14,38,6,111,3,13,1,0,0,68,9,19,32.1
Mikel Merino,ESP,"MF,FW",28,16.6,4,1,1,39,22,7,13,15,26,0,0,0,82,58,55,51.3
Myles Lewis-Skelly,ENG,DF,18,14.0,3,2,0,11,43,0,8,6,14,0,1,0,48,8,10,44.4
Ben White,ENG,DF,27,11.3,2,0,0,8,5,1,14,16,11,0,0,0,28,15,6,71.4
Riccardo Calafiori,ITA,DF,22,10.4,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9
Ethan Nwaneri,ENG,"FW,MF",18,9.1,1,0,0,8,5,6,51,2,7,0,0,0,33,4,7,36.4
Jorginho,ITA,MF,33,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3
Jakub Kiwior,POL,DF,25,10.5,0,0,0,9,4,1,1,4,7,0,0,0,22,8,7,53.3
Gabriel Jesus,BRA,FW,28,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3
Raheem Sterling,ENG,"FW,MF",30,4.9,1,0,0,12,4,4,14,1,4,0,0,0,14,1,3,25.0
Oleksandr Zinchenko,UKR,"DF,MF",28,5.1,1,0,0,8,3,1,10,4,1,0,0,0,17,11,11,50.0
Kieran Tierney,SCO,"DF,FW",27,2.2,0,0,0,0,2,2,10,2,5,0,0,0,4,3,5,37.5
Nathan Butler-Oyedeji,ENG,FW,22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Takehiro Tomiyasu,JPN,DF,26,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reiss Nelson,ENG,FW,25,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Squad Total,,,26,36.0,67,6,3,384,389,79,722,217,335,2,3,0,1351,442,434,50.5
Opponent Total,,,27,36.0,80,2,1,400,374,37,496,249,399,3,2,2,1271,434,442,49.5
