Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Unnamed: 21_level_0 Matches
Dara O'Shea,ie IRL,DF,26-070,32.7,22,0.67,18,0,0,1,2,1,4,0.12,4,0,0,0,0,0,Matches
Liam Delap,eng ENG,FW,22-094,28.4,62,2.19,28,0,12,7,13,2,7,0.25,3,0,2,0,2,0,Matches
Leif Davis,eng ENG,DF,25-121,28.5,85,2.98,42,36,3,2,1,1,4,0.14,3,0,1,0,0,0,Matches
Sam Morsy,eg EGY,MF,33-245,28.6,44,1.54,39,4,0,0,1,0,2,0.07,2,0,0,0,0,0,Matches
Omari Hutchinson,eng ENG,"MF,FW",21-195,26.7,72,2.7,53,0,8,5,4,2,6,0.22,6,0,0,0,0,0,Matches
Jacob Greaves,eng ENG,DF,24-243,22.5,15,0.67,13,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jens Cajuste,se SWE,MF,25-276,20.1,30,1.49,23,2,4,0,0,1,1,0.05,0,0,1,0,0,0,Matches
Arijanet Muric,xk KVX,GK,26-187,18.0,1,0.06,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Axel Tuanzebe,cd COD,DF,27-180,17.0,14,0.82,12,1,0,0,1,0,2,0.12,2,0,0,0,0,0,Matches
Cameron Burgess,au AUS,DF,29-204,17.1,14,0.82,14,0,0,0,0,0,3,0.18,3,0,0,0,0,0,Matches
Ben Johnson,eng ENG,"DF,FW",25-109,15.0,24,1.6,12,9,0,1,2,0,5,0.33,4,0,0,1,0,0,Matches
Kalvin Phillips,eng ENG,MF,29-162,13.7,17,1.24,13,3,0,1,0,0,3,0.22,3,0,0,0,0,0,Matches
Sammie Szmodics,ie IRL,"FW,MF",29-231,10.9,9,0.83,7,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Luke Woolfenden,eng ENG,DF,26-204,13.2,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alex Palmer,eng ENG,GK,28-276,12.0,2,0.17,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wes Burns,wls WAL,"FW,DF",30-171,10.3,16,1.55,12,0,1,1,2,0,1,0.1,1,0,0,0,0,0,Matches
Jack Clarke,eng ENG,"FW,MF",24-171,12.1,43,3.55,37,2,2,0,0,2,5,0.41,4,1,0,0,0,0,Matches
Julio Enciso,py PAR,"FW,MF",21-110,8.9,26,2.93,14,4,5,2,0,1,4,0.45,2,1,1,0,0,0,Matches
Conor Chaplin,eng ENG,"MF,FW",28-086,8.5,21,2.47,19,2,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Nathan Broadhead,wls WAL,"MF,FW",27-038,6.7,19,2.83,14,0,5,0,0,0,2,0.3,1,0,1,0,0,0,Matches
Christian Walton,eng ENG,GK,29-185,6.0,2,0.33,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaden Philogene Bidace,eng ENG,"FW,DF",23-094,5.3,9,1.71,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Jack Taylor,ie IRL,MF,26-324,9.2,21,2.29,14,1,2,2,0,2,2,0.22,2,0,0,0,0,0,Matches
Harry Clarke,eng ENG,DF,24-072,4.2,1,0.24,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
George Hirst,sct SCO,FW,26-087,5.8,8,1.37,7,0,0,1,0,0,3,0.51,2,0,0,1,0,0,Matches
Conor Townsend,eng ENG,DF,32-070,3.7,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
Chiedozie Ogbene,ie IRL,FW,28-012,2.6,3,1.13,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Massimo Luongo,au AUS,MF,32-230,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Godfrey,eng ENG,DF,27-118,1.8,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ali Al Hamadi,iq IRQ,FW,23-073,1.5,8,5.37,4,0,3,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Marcus Harness,eng ENG,MF,29-078,0.5,2,4.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
George Edmundson,eng ENG,DF,27-255,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,36.0,598,16.61,416,68,47,26,29,12,56,1.56,44,2,6,2,2,0,
Opponent Total,,,27.0,36.0,1047,29.08,810,66,60,64,32,15,134,3.72,100,7,7,12,7,1,
