Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Unnamed: 21_level_0 Matches
Emiliano Martínez,ar ARG,GK,32-253,34.0,5,0,0,1,6,0,0,0,3,0,0,0,29,9,1,90.0,Matches
Youri Tielemans,be BEL,MF,28-006,33.3,4,0,0,41,56,0,118,22,57,0,0,0,145,22,18,55.0,Matches
Morgan Rogers,eng ENG,"FW,MF",22-291,32.7,9,0,0,47,50,2,23,5,21,1,0,0,111,13,46,22.0,Matches
Ezri Konsa,eng ENG,DF,27-202,30.6,1,0,0,7,45,0,5,21,17,0,0,0,92,31,22,58.5,Matches
Ollie Watkins,eng ENG,FW,29-134,26.9,2,0,0,28,30,13,7,8,7,2,0,0,42,49,63,43.8,Matches
Lucas Digne,fr FRA,DF,31-297,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9,Matches
John McGinn,sct SCO,"MF,FW",30-207,23.0,7,0,0,43,67,3,54,14,22,1,0,0,94,16,11,59.3,Matches
Matty Cash,pl POL,DF,27-279,21.0,6,0,0,25,18,1,34,21,29,0,2,0,65,17,19,47.2,Matches
Pau Torres,es ESP,DF,28-117,20.4,1,0,0,8,7,0,1,9,14,0,0,0,54,17,27,38.6,Matches
Jacob Ramsey,eng ENG,"FW,MF",23-350,17.7,4,1,1,13,28,5,12,8,15,1,0,0,81,7,11,38.9,Matches
Boubacar Kamara,fr FRA,MF,25-171,17.3,2,0,0,27,28,0,1,19,20,0,0,0,75,17,23,42.5,Matches
Amadou Onana,be BEL,MF,23-270,16.3,4,0,0,31,28,0,1,25,24,0,0,0,70,30,19,61.2,Matches
Leon Bailey,jm JAM,"FW,MF",27-277,12.6,3,0,0,12,18,3,34,3,4,1,0,0,59,6,9,40.0,Matches
Tyrone Mings,eng ENG,DF,32-061,12.4,1,0,0,4,11,0,1,7,6,0,0,0,38,27,22,55.1,Matches
Ian Maatsen,nl NED,DF,23-064,10.7,2,0,0,9,9,3,48,15,15,0,0,0,61,8,6,57.1,Matches
Diego Carlos,br BRA,DF,32-059,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
Marco Asensio,es ESP,MF,29-112,6.8,2,0,0,11,7,2,25,2,5,0,0,0,24,0,1,0.0,Matches
Axel Disasi,fr FRA,DF,27-063,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,Matches
Lamare Bogarde,nl NED,"DF,MF",21-128,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches
Andrés García,es ESP,"DF,MF",22-095,3.5,0,0,0,1,0,0,18,2,5,0,0,0,15,0,6,0.0,Matches
Jáder Durán,co COL,FW,21-151,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches
Marcus Rashford,eng ENG,FW,27-194,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1,Matches
Ross Barkley,eng ENG,MF,31-159,6.3,3,0,0,8,3,0,1,10,3,0,0,0,41,6,4,60.0,Matches
Jaden Philogene Bidace,eng ENG,"FW,MF",23-094,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0,Matches
Donyell Malen,nl NED,FW,26-124,3.3,0,0,0,1,4,2,7,0,4,0,0,0,8,4,4,50.0,Matches
Robin Olsen,se SWE,GK,35-125,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Kosta Nedeljković,rs SRB,DF,19-148,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0,Matches
Emi Buendía,ar ARG,"MF,FW",28-139,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches
Squad Total,,,27.8,36.0,73,3,2,391,478,51,567,231,353,6,2,0,1340,361,397,47.6,
Opponent Total,,,27.2,36.0,100,2,1,488,379,88,655,327,368,1,6,2,1456,397,361,52.4,
